food_id,restaurant_id,food_name,price,description,availability
69,29,Rawon,29000,Sup daging dengan kuah hitam khas Jawa,TRUE
70,29,Sate Kelopo,31000,Sate kelapa dengan bumbu kacang khas Surabaya,TRUE
71,30,Nasi Campur,27800,Assorted rice dish with various toppings and sides,TRUE
72,30,Nasi Goreng Special,20300,Fried rice with special seasoning and toppings,TRUE
73,30,Sate Lilit,31700,Balinese-style satay made from minced meat,TRUE
74,31,Bebek Betutu,25600,Balinese-style steamed and roasted duck,TRUE
75,31,Nasi Campur Bebek,22100,Assorted rice dish with duck and various sides,TRUE
76,31,Bebek Goreng,35900,Fried duck,TRUE
77,32,Nasi Campur Bali,39400,Assorted rice dish with Balinese-style toppings and sides,TRUE
78,32,Ayam Betutu,25000,Balinese-style steamed and roasted chicken,TRUE
79,32,Sate Lilit,32000,Balinese-style satay made from minced meat,TRUE
80,33,Babi Guling,38600,Balinese-style roasted pig with various sides,TRUE
81,33,Nasi Campur Babi Guling,37800,Assorted rice dish with roasted pig and various sides,TRUE
82,33,Sate Lilit Babi,34100,Balinese-style satay made from minced pork meat,TRUE
83,34,Pempek Kapal Selam,22800,Deep-fried fishcake stuffed with egg and served with sauce,TRUE
84,34,Tekwan,27600,Fishball soup with mushroom and shrimp,TRUE
85,34,Mie Celor,29500,"Noodle soup with shrimp, mushroom, and egg",TRUE
